Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
black-resin-onyx-earrings,Black Resin & Onyx Earrings,"<p>Exactly what Beyonce wore in her ""Brown Skin Girl"" music video!</p>
<meta charset=""utf-8"">
<p><span>Black resin and onyx earrings with white matte Swarovski at the top of the clip-on earrings. Earrings are offered in post earrings as well for pierced ears.</span></p>",MONA ASSEMI ,"","",true,Title,Default Title,,,,,"",0.0,,-2,deny,manual,298.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/IMG_7882.jpg?v=1596659139,1,,false,,,,,,,,,,,,,,,,,lb,,
black-resin-onyx-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0755/2497/products/IMG_7897.png?v=1596659139,2,,,,,,,,,,,,,,,,,,,,,
black-resin-onyx-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0755/2497/products/IMG_7912.jpg?v=1596659140,3,,,,,,,,,,,,,,,,,,,,,
aries-gold-swarovski-crystal-ring,Aries Gold + Swarovski Crystal Ring,"<p>Aries ring in gold plated and Swarovski crystal<br><strong>﻿</strong><strong><span>sizes:5,5,6,6,7,7,8,9,10,10</span></strong></p>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/ariesGold.png?v=1588459523,1,,false,,,,,,,,,,,,,,,,,lb,,
taurus-silver-ring,Taurus Silver Ring,"Taurus ring in plated silver<br><strong>﻿Sizes: 9, 10</strong><br>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/c760d15b-818e-4a49-8e67-9da636c2aef3.png?v=1588459419,1,,false,,,,,,,,,,,,,,,,,lb,,
taurus-gunmetal-ring,Taurus Gunmetal Ring,"Taurus gunmetal ring<br><strong>﻿Sizes: 9, 10</strong><br>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/NEWTaurusGunmetal.png?v=1588459382,1,,false,,,,,,,,,,,,,,,,,lb,,
taurus-gold-swarovski-crystal-ring,Taurus Gold + Swarovski Crystal Ring,"",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/NEWTaurusGold.png?v=1588459350,1,,false,,,,,,,,,,,,,,,,,lb,,
virgo-silver-ring,Virgo Silver Ring,"virgo ring in plated silver<br><strong>﻿Sizes: 9, 10</strong><br>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/NEWvirgosilver.png?v=1588459338,1,,false,,,,,,,,,,,,,,,,,lb,,
virgo-gold-swarovski-crystal-ring,Virgo Gold + Swarovski Crystal Ring,"<meta charset=""utf-8""><span>Virgo ring in gold plated and swarovski crystal</span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/11e0bb19-abfa-453f-9e05-ec8b2b589ef3.png?v=1588459309,1,virgo gold swarovski crystal ring,false,,,,,,,,,,,,,,,,,lb,,
virgo-gunmetal-ring,Virgo Gunmetal Ring,"Virgon ring in gunmetal<br><strong>﻿Sizes: 9, 10</strong><br>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/9cb3740a-fbde-4897-bb43-582a6a2f00fc.png?v=1588459214,1,Virgo gunmetal ring,false,,,,,,,,,,,,,,,,,lb,,
silver-over-bronze-earrings,Silver Over Bronze Earrings,"<meta charset=""utf-8""><span>2 inches earring, silver plated over bronze</span>",MONA ASSEMI,Earings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,388.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/NEWcoolEarrings.png?v=1588459100,1,silver over bronze earrings 2in,false,,,,,,,,,,,,,,,,,lb,,
silver-double-twist-ring,Silver Double Twist Ring,Silver plated double twist ring<br><strong>﻿Size: 8.5</strong><br>,MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/e7b0fe27-ebaa-4c94-b03e-c84fc0dc4669.png?v=1588459045,1,,false,,,,,,,,,,,,,,,,,lb,,
gunmetal-twist-rings,Gunmetal Twist Rings,"<meta charset=""utf-8""><span>Gunmetal plated double twist ring with two sizes<br><strong>Size: 7.5, 9.5</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/NEWgunmetaltwsitrings.png?v=1588458997,1,,false,,,,,,,,,,,,,,,,,lb,,
14kt-gold-double-twist-ring,14kt Gold Double Twist Ring,14kt Gold Plated Double Twist Ring<br><b>Size: 3.5</b>,MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/7ace9063-85f9-476b-a5c7-b99c4b45ca0a.png?v=1588458870,1,14kt Gold Double Twist Ring,false,,,,,,,,,,,,,,,,,lb,,
14kt-gold-twist-rings,14kt Gold Twist Rings,"<meta charset=""utf-8""><span>14 k gold twist ring with two sizes<br><strong>Sizes: 2.5,  4.5</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/74faf54b-3fc0-4d8d-833e-954e542458e2.png?v=1588458863,1,14kt Gold Twist Rings,false,,,,,,,,,,,,,,,,,lb,,
silver-plated-ruffle-ring-1,Silver Plated Ruffle Ring,"<meta charset=""utf-8""><span>Silver plated ruffle ring 1/2 inch</span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/18636619-bc29-4cd9-a105-dd07c842cdc2.png?v=1588458728,1,Silver plated ruffle ring 1/2 inch,false,,,,,,,,,,,,,,,,,lb,,
silver-plated-ruffle-ring,Silver Plated Ruffle Ring,"<meta charset=""utf-8"">
<p><span>Silver plated ruffle ring <br><strong>Size: </strong></span><strong><span mce-data-marked=""1"">7.5</span></strong></p>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/ab468886-d982-4d98-b3d9-f2a3f9801084.png?v=1588458664,1,Silver plated ruffle ring ,false,,,,,,,,,,,,,,,,,lb,,
silver-plated-necklace,Silver Plated Necklace,"<meta charset=""utf-8""><span>silver plated delicate necklace 18 inches long</span>",MONA ASSEMI,Necklace,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/NEWsilverplatednecklace.png?v=1588458544,1,,false,,,,,,,,,,,,,,,,,lb,,
14k-gold-plated-rings,14k Gold Plated Rings,"<meta charset=""utf-8""><span>14 kt Gold plated hexagon rings<br><strong>Sizes: (7) 11</strong></span>",MONA ASSEMI,Rings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,225.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/ThinGoldStacks.png?v=1588458019,1,,false,,,,,,,,,,,,,,,,,lb,,
silver-fringe-necklace,Silver Fringe Necklace,"<meta charset=""utf-8""><span>silver plated 30 inch fringe necklace</span>",MONA ASSEMI,Necklace,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/SilverFringe.png?v=1588457861,1,,false,,,,,,,,,,,,,,,,,lb,,
14kt-gold-plated-necklace,14kt Gold Plated Necklace,"<meta charset=""utf-8""><span>14k gold plated necklace 28 inch long</span>",MONA ASSEMI ,Necklace,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/PersonNecklace.png?v=1588457646,1,,false,,,,,,,,,,,,,,,,,lb,,
14kt-gold-double-people-earrings,14kt Gold Double People Earrings,"<meta charset=""utf-8""><span>14k gold double people 2 inches earrings</span>",MONA ASSEMI,Earings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,288.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/84b9bd54-d861-415b-92f2-9b4b601e9a29.png?v=1588457582,1,14k gold double people 2 inches earrings,false,,,,,,,,,,,,,,,,,lb,,
14k-gold-people-earrings,14k Gold People Earrings,"<meta charset=""utf-8""><span>14k gold people earrings</span>",MONA ASSEMI,Earings,"",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0755/2497/products/8f74a015-79be-4cae-9f74-39230ea821e6.png?v=1588456029,1,14k gold people earrings,false,,,,,,,,,,,,,,,,,lb,,
